Temporada,Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Sébastien Haller,ci CIV,DL,29-305,14,5,396,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.7,1.7,11.0,11.0,34.0,0.0,0.23,0.23,0.0,0.23,0.22,0.17,0.39,0.22,0.39
Youssoufa Moukoko,de GER,DL,19-154,17,2,425,4.7,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,0.2,2.4,13.0,12.0,20.0,0.64,0.0,0.64,0.64,0.64,0.47,0.03,0.5,0.47,0.5
Gio Reyna,us USA,"CC,DL",21-161,11,1,280,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,8.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.27,0.25,0.52,0.27,0.52
Samuel Bamba,de GER,DL,20-069,2,0,47,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.51,0.15,0.67,0.51,0.67
Hendry Blank,de GER,DF,19-245,1,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ole Pohlmann,de GER,CC,23-017,1,0,32,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.17,0.31,0.14,0.31
Antonios Papadopoulos,de GER,DF,24-225,1,0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julien Duranville,be BEL,"DL,CC",17-353,2,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thorgan Hazard,be BEL,DF,31-024,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateu Morey,es ESP,DF,24-051,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
