Ronda,Equipo Local,Resultado,Equipo Visitante
Jornada 9,Arsenal,2-2,Bayern Múnich
Jornada 9,Real Madrid,3-3,M. City
Jornada 9,Atlético,2-1,Borussia Dortmund
Jornada 9,PSG,2-3,Barcelona
Jornada 10,Barcelona,1-4,PSG
Jornada 10,Borussia Dortmund,4-2,Atlético
Jornada 10,Bayern Múnich,1-0,Arsenal
Jornada 10,M. City,1-1,Real Madrid
