Fecha,Hora,Competición,Ronda,Día,Sede,Resultado,Goles a favor,Goles en contra,Rival,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro
2024-03-05,21:00,Champions Lg,Ronda de 16,Mar,Local,V,3,0,it Lazio,3.5,0.4,60,"75,000",Manuel Neuer,4-2-3-1,Slavko Vinčič
2024-03-09,15:30,Bundesliga,Semana 25 de partido,Sáb,Local,V,8,1,Mainz 05,6.2,0.8,59,"75,000",Manuel Neuer,4-2-3-1,Patrick Ittrich
2024-03-16,15:30,Bundesliga,Semana 26 de partido,Sáb,Visitante,V,5,2,Darmstadt 98,3.6,1.2,76,"17,810",Manuel Neuer,4-2-3-1,Tobias Reichel
2024-03-30,18:30,Bundesliga,Semana 27 de partido,Sáb,Local,D,0,2,Dortmund,1.5,0.9,61,"75,000",Thomas Müller,4-2-3-1,Harm Osmers
2024-04-06,15:30,Bundesliga,Semana 28 de partido,Sáb,Visitante,D,2,3,Heidenheim,1.9,1.4,67,"15,000",Thomas Müller,4-2-3-1,Robert Schröder
2024-04-09,20:00 (21:00),Champions Lg,Cuartos de final,Mar,Visitante,E,2,2,eng Arsenal,1.9,1.0,41,"60,221",Manuel Neuer,4-2-3-1,Glenn Nyberg
2024-04-13,15:30,Bundesliga,Semana 29 de partido,Sáb,Local,V,2,0,Köln,2.2,0.9,69,"75,000",Thomas Müller,4-2-3-1,Frank Willenborg
2024-04-17,21:00,Champions Lg,Cuartos de final,Mié,Local,V,1,0,eng Arsenal,1.3,0.4,51,"75,000",Manuel Neuer,4-2-3-1,Danny Makkelie
2024-04-20,18:30,Bundesliga,Semana 30 de partido,Sáb,Visitante,V,5,1,Union Berlin,1.4,1.4,63,"22,012",Manuel Neuer,4-2-3-1,Sven Jablonski
2024-04-27,15:30,Bundesliga,Semana 31 de partido,Sáb,Local,V,2,1,Eint Frankfurt,3.4,0.5,62,"75,000",Manuel Neuer,4-2-3-1,Daniel Schlager
2024-04-30,21:00,Champions Lg,Semifinales,Mar,Local,,,,es Real Madrid,,,,,,,
2024-05-04,15:30,Bundesliga,Semana 32 de partido,Sáb,Visitante,,,,Stuttgart,,,,,,,
2024-05-08,21:00,Champions Lg,Semifinales,Mié,Visitante,,,,es Real Madrid,,,,,,,
2024-05-12,17:30,Bundesliga,Semana 33 de partido,Dom,Local,,,,Wolfsburg,,,,,,,
2024-05-18,15:30,Bundesliga,Semana 34 de partido,Sáb,Visitante,,,,Hoffenheim,,,,,,,
