Ronda,Equipo Local,Resultado,Equipo Visitante
Jornada 11,Bayern Múnich,30/04 21:00,Real Madrid
Jornada 11,Borussia Dortmund,01/05 21:00,PSG
Jornada 12,PSG,07/05 21:00,Borussia Dortmund
Jornada 12,Real Madrid,08/05 21:00,Bayern Múnich
