Temporada,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2011-2012,Round of 16,Tue,2012-02-21,,CSKA Moscowru,1–1,esReal Madrid,,Stadion Luzhniki,Björn Kuipers,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-22,,Marseillefr,1–0,itInter,,Stade Vélodrome,Cüneyt Çakır,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-22,,Baselch,1–0,deBayern Munich,,St. Jakob,Nicola Rizzoli,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-03-06,,Benficapt,2–0,ruZenit,,Estádio do Sport Lisboa e Benfica,Howard Webb,Match Report,Leg 2 of 2; Benfica won
2011-2012,Round of 16,Tue,2012-03-06,,Arsenaleng,3–0,itMilan,,Arsenal Stadium,Damir Skomina,Match Report,Leg 2 of 2; Milan won
2011-2012,Round of 16,Wed,2012-03-07,,APOEL FCcy,(4)1–0(3),frLyon,,GSP Stadium,Undiano Mallenco,Match Report,Leg 2 of 2; APOEL FC won; APOEL FC won on penalty kicks following extra time
2011-2012,Round of 16,Wed,2012-03-07,,Barcelonaes,7–1,deLeverkusen,,Camp Nou,Svein Oddvar Moen,Match Report,Leg 2 of 2; Barcelona won
2011-2012,Round of 16,Tue,2012-03-13,,Bayern Munichde,7–0,chBasel,,Fußball Arena München,Mark Clattenburg,Match Report,Leg 2 of 2; Bayern Munich won
2011-2012,Round of 16,Tue,2012-03-13,,Interit,2–1,frMarseille,,Stadio Giuseppe Meazza,Pedro Proença,Match Report,Leg 2 of 2; Marseille won
2011-2012,Round of 16,Wed,2012-03-14,,Real Madrides,4–1,ruCSKA Moscow,,Estadio Santiago Bernabéu,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2011-2012,Round of 16,Wed,2012-03-14,,Chelseaeng,4–1,itNapoli,,Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Chelsea won; Required Extra Time
2011-2012,,,,,,,,,,,,
2011-2012,Quarter-finals,Tue,2012-03-27,,Benficapt,0–1,engChelsea,,Estádio do Sport Lisboa e Benfica,Paolo Tagliavento,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Tue,2012-03-27,,APOEL FCcy,0–3,esReal Madrid,,GSP Stadium,Felix Brych,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Wed,2012-03-28,,Milanit,0–0,esBarcelona,,Stadio Giuseppe Meazza,Jonas Eriksson,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Wed,2012-03-28,,Marseillefr,0–2,deBayern Munich,,Stade Vélodrome,Velasco Carballo,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Tue,2012-04-03,,Bayern Munichde,2–0,frMarseille,,Fußball Arena München,Svein Oddvar Moen,Match Report,Leg 2 of 2; Bayern Munich won
2011-2012,Quarter-finals,Tue,2012-04-03,,Barcelonaes,3–1,itMilan,,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2011-2012,Quarter-finals,Wed,2012-04-04,,Chelseaeng,2–1,ptBenfica,,Stamford Bridge,Damir Skomina,Match Report,Leg 2 of 2; Chelsea won
2011-2012,Quarter-finals,Wed,2012-04-04,,Real Madrides,5–2,cyAPOEL FC,,Estadio Santiago Bernabéu,Gianluca Rocchi,Match Report,Leg 2 of 2; Real Madrid won
2011-2012,,,,,,,,,,,,
2011-2012,Semi-finals,Tue,2012-04-17,,Bayern Munichde,2–1,esReal Madrid,,Fußball Arena München,Howard Webb,Match Report,Leg 1 of 2
2011-2012,Semi-finals,Wed,2012-04-18,,Chelseaeng,1–0,esBarcelona,,Stamford Bridge,Felix Brych,Match Report,Leg 1 of 2
2011-2012,Semi-finals,Tue,2012-04-24,,Barcelonaes,2–2,engChelsea,,Camp Nou,Cüneyt Çakır,Match Report,Leg 2 of 2; Chelsea won
2011-2012,Semi-finals,Wed,2012-04-25,,Real Madrides,(1)2–1(3),deBayern Munich,,Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Bayern Munich won; Bayern Munich won on penalty kicks following extra time
2011-2012,,,,,,,,,,,,
2011-2012,Final,Sat,2012-05-19,,Bayern Munichde,(3)1–1(4),engChelsea,,Fußball Arena München (Neutral Site),Pedro Proença,Match Report,Chelsea won on penalty kicks following extra time
2012-2013,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2012-2013,Round of 16,Tue,2013-02-12,,Valenciaes,1–2,frParis S-G,,Estadi de Mestalla,Paolo Tagliavento,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-02-12,,Celticsct,0–3,itJuventus,,Celtic Park,Undiano Mallenco,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-13,,Shakhtarua,2–2,deDortmund,,Donbass Arena,Howard Webb,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-13,,Real Madrides,1–1,engManchester Utd,,Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-02-19,,Portopt,1–0,esMálaga,,Estádio do Dragão,Mark Clattenburg,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-02-19,,Arsenaleng,1–3,deBayern Munich,,Arsenal Stadium,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-20,,Galatasaraytr,1–1,deSchalke 04,,Ali Sami Yen Spor Kompleksi,William Collum,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-20,,Milanit,2–0,esBarcelona,,Stadio Giuseppe Meazza,Craig Thomson,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-03-05,,Manchester Utdeng,1–2,esReal Madrid,,Old Trafford,Cüneyt Çakır,Match Report,Leg 2 of 2; Real Madrid won
2012-2013,Round of 16,Tue,2013-03-05,,Dortmundde,3–0,uaShakhtar,,BVB Stadion Dortmund,Damir Skomina,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Round of 16,Wed,2013-03-06,,Juventusit,2–0,sctCeltic,,Juventus Stadium,Fırat Aydınus,Match Report,Leg 2 of 2; Juventus won
2012-2013,Round of 16,Wed,2013-03-06,,Paris S-Gfr,1–1,esValencia,,Parc des Princes,Milorad Mažić,Match Report,Leg 2 of 2; Paris S-G won
