Ranking,Nombre,Equipo,Goles,Asistencias
126.,Hancko D.,Feyenoord,1,0
126.,Havertz K.,Arsenal,1,0
126.,Hernández L.,PSG,1,0
126.,Ilenikhena G.,Antwerp,1,0
126.,Itten C.,Young Boys,1,0
126.,Jahanbakhsh A.,Feyenoord,1,0
126.,Janssen V.,Antwerp,1,0
126.,Joelinton,Newcastle,1,0
126.,Jorginho,Arsenal,1,0
126.,Katai A.,Estrella Roja,1,0
126.,Kelsy K.,Shakhtar,1,0
126.,Kolo Muani R.,PSG,1,0
126.,Lagerbielke G.,Celtic,1,0
126.,Leao R.,AC Milan,1,0
126.,Longstaff S.,Newcastle,1,0
126.,Maatsen I.,Borussia Dortmund,1,0
126.,Maguire H.,Manchester Utd,1,0
126.,Malen D.,Borussia Dortmund,1,0
126.,Mattsson M.,Copenhague,1,0
126.,Matviienko M.,Shakhtar,1,0
126.,Minteh Y.,Feyenoord,1,0
126.,Muja A.,Antwerp,1,0
126.,Ndiaye C.,Estrella Roja,1,0
126.,Niakate S.,SC Braga,1,0
126.,Nketiah E.,Arsenal,1,0
126.,Nmecha F.,Borussia Dortmund,1,0
126.,Ocampos L.,Sevilla,1,0
126.,Olmo D.,RB Leipzig,1,0
126.,Orban W.,RB Leipzig,1,0
126.,Ostigard L.,Nápoles,1,0
126.,Paz N.,Real Madrid,1,0
126.,Phillips K.,Manchester City,1,0
126.,Provedel I.,Lazio,1,0
126.,Pulisic C.,AC Milan,1,0
126.,Rakitskyi Y.,Shakhtar,1,0
126.,Raspadori G.,Nápoles,1,0
126.,Rrahmani A.,Nápoles,1,0
126.,Saibari I.,PSV,1,0
126.,Sancho J.,Manchester Utd,1,0
126.,Schar F.,Newcastle,1,0
126.,Simakan M.,RB Leipzig,1,0
126.,Simeone G.,Nápoles,1,0
126.,Skriniar M.,PSG,1,0
126.,Stamenic M.,Estrella Roja,1,0
126.,Sucic L.,Salzburgo,1,0
126.,Sudakov G.,Shakhtar,1,0
126.,Teze J.,PSV,1,0
126.,Thomasson A.,Lens,1,0
126.,Thuram M.,Inter,1,0
126.,Vecino M.,Lazio,1,0
126.,Volland K.,Union Berlin,1,0
126.,Zerrouki R.,Feyenoord,1,0
126.,de Paul R.,Atlético de Madrid,1,0
126.,Ñíguez S.,Atlético de Madrid,1,0
206.,Gündogan I.,Barcelona,0,4
207.,Lewis R.,Manchester City,0,3
207.,Molina N.,Atlético de Madrid,0,3
207.,O'Riley M.,Celtic,0,3
207.,Pedri,Barcelona,0,3
207.,Rakitic I.,Sevilla,0,3
212.,Grealish J.,Manchester City,0,2
212.,Guerreiro R.,Bayern Múnich,0,2
212.,Henrichs B.,RB Leipzig,0,2
212.,Horta R.,SC Braga,0,2
212.,Kampl K.,RB Leipzig,0,2
212.,Llorente M.,Atlético de Madrid,0,2
212.,Marquinhos,PSG,0,2
212.,Nelson R.,Arsenal,0,2
212.,Rashford M.,Manchester Utd,0,2
212.,Ruiz F.,PSG,0,2
212.,Sánchez D.,Galatasaray,0,2
212.,Tengstedt C.,Benfica,0,2
212.,Tomiyasu T.,Arsenal,0,2
212.,Yamal L.,Barcelona,0,2
212.,Zubkov O.,Shakhtar,0,2
227.,Acerbi F.,Inter,0,1
227.,Achouri E.,Copenhague,0,1
227.,Acuña M.,Sevilla,0,1
227.,Alaba D.,Real Madrid,0,1
227.,Aursnes F.,Benfica,0,1
227.,Azarovi I.,Shakhtar,0,1
227.,Banza S.,SC Braga,0,1
227.,Barella N.,Inter,0,1
227.,Bataille J.,Antwerp,0,1
227.,Baumgartner C.,RB Leipzig,0,1
227.,Benito L.,Young Boys,0,1
227.,Bisseck Y.,Inter,0,1
227.,Blaswich J.,RB Leipzig,0,1
227.,Calabria D.,AC Milan,0,1
227.,Camara M.,Young Boys,0,1
227.,Dest S.,PSV,0,1
227.,Dias R.,Manchester City,0,1
227.,Dumfries D.,Inter,0,1
227.,Eriksen C.,Manchester Utd,0,1
227.,Falk R.,Copenhague,0,1
227.,Felipe Anderson,Lazio,0,1
227.,Franco A.,Oporto,0,1
227.,García F.,Real Madrid,0,1
227.,Giménez J. M.,Atlético de Madrid,0,1
227.,Gocholeishvili G.,Shakhtar,0,1
227.,Goretzka L.,Bayern Múnich,0,1
227.,Guendouzi M.,Lazio,0,1
227.,Guimaraes B.,Newcastle,0,1
227.,Hernández T.,AC Milan,0,1
227.,Hummels M.,Borussia Dortmund,0,1
227.,Isaksen G.,Lazio,0,1
227.,Ivanic M.,Estrella Roja,0,1
227.,Ivanusec L.,Feyenoord,0,1
227.,Joao Mario,Oporto,0,1
227.,Kanga G.,Estrella Roja,0,1
227.,Kjaergaard M.,Salzburgo,0,1
227.,Koke,Atlético de Madrid,0,1
227.,Konoplya Y.,Shakhtar,0,1
227.,Krasso J.,Estrella Roja,0,1
227.,Kvaratskhelia K.,Nápoles,0,1
227.,Laidouni A.,Union Berlin,0,1
227.,Lucas,Real Madrid,0,1
227.,Luis Alberto,Lazio,0,1
227.,Maeda D.,Celtic,0,1
227.,Martial A.,Manchester Utd,0,1
227.,Meling B.,Copenhague,0,1
227.,Miley L.,Newcastle,0,1
227.,Mkhitaryan H.,Inter,0,1
227.,Monteiro J.,Young Boys,0,1
227.,Murphy J.,Newcastle,0,1
227.,Muñoz A.,Real Sociedad,0,1
227.,Natan,Nápoles,0,1
227.,Nazaryna Y.,Shakhtar,0,1
227.,Niasse C.,Young Boys,0,1
227.,Nsame J.,Young Boys,0,1
227.,Nunes M.,Manchester City,0,1
227.,Okafor N.,AC Milan,0,1
227.,Oliveira S.,Galatasaray,0,1
227.,Oskarsson O.,Copenhague,0,1
227.,Otamendi N.,Benfica,0,1
227.,Otavio,Oporto,0,1
227.,Poulsen Y.,RB Leipzig,0,1
227.,Roberto S.,Barcelona,0,1
227.,Romagnoli A.,Lazio,0,1
227.,Roussillon J.,Union Berlin,0,1
227.,Rui M.,Nápoles,0,1
227.,Rüdiger A.,Real Madrid,0,1
227.,Schlotterbeck N.,Borussia Dortmund,0,1
227.,Shaw L.,Manchester Utd,0,1
227.,Sotoca F.,Lens,0,1
227.,Stepanenko T.,Shakhtar,0,1
227.,Stones J.,Manchester City,0,1
227.,Sánchez J.,Sevilla,0,1
227.,Tillman M.,PSV,0,1
227.,Timber Q.,Feyenoord,0,1
227.,Tousart L.,Union Berlin,0,1
227.,Trippier K.,Newcastle,0,1
227.,Ueda A.,Feyenoord,0,1
227.,Wan-Bissaka A.,Manchester Utd,0,1
227.,White B.,Arsenal,0,1
227.,Yilmaz B. A.,Galatasaray,0,1
227.,Zalazar R.,SC Braga,0,1
227.,de Ligt M.,Bayern Múnich,0,1
