Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2023-11-07,18:45,Champions Lg,Etapa de grupo,Mar,Local,V,2,0,eng Newcastle Utd,1.4,0.6,46,"81,365",Gregor Kobel,4-2-3-1,Alejandro Hernández,Informe del partido
2023-11-11,15:30,Bundesliga,Semana 11 de partido,Sáb,Visitante,D,1,2,Stuttgart,1.0,4.2,41,"55,000",Gregor Kobel,4-3-3,Tobias Stieler,Informe del partido
2023-11-25,15:30,Bundesliga,Semana 12 de partido,Sáb,Local,V,4,2,M'Gladbach,3.2,1.0,51,"81,365",Emre Can,4-2-3-1,Sven Jablonski,Informe del partido
2023-11-28,21:00,Champions Lg,Etapa de grupo,Mar,Visitante,V,3,1,it Milan,1.8,2.1,46,"75,292",Emre Can,4-2-3-1,István Kovács,Informe del partido
2023-12-03,17:30,Bundesliga,Semana 13 de partido,Dom,Visitante,E,1,1,Leverkusen,0.7,2.1,31,"30,210",Emre Can,4-2-3-1,Daniel Siebert,Informe del partido
2023-12-06,20:45,DFB-Pokal,Ronda de 16,Mié,Visitante,D,0,2,Stuttgart,,,46,"54,500",Emre Can,3-4-3,Benjamin Brand,Informe del partido
2023-12-09,18:30,Bundesliga,Semana 14 de partido,Sáb,Local,D,2,3,RB Leipzig,1.5,2.8,53,"81,365",Emre Can,4-2-3-1,Sven Jablonski,Informe del partido
2023-12-13,21:00,Champions Lg,Etapa de grupo,Mié,Local,E,1,1,fr Paris S-G,1.4,2.8,41,"81,365",Gregor Kobel,4-2-3-1,Glenn Nyberg,Informe del partido
2023-12-16,15:30,Bundesliga,Semana 15 de partido,Sáb,Visitante,E,1,1,Augsburg,2.6,1.8,63,"30,660",Emre Can,4-3-3,Matthias Jöllenbeck,Informe del partido
2023-12-19,20:30,Bundesliga,Semana 16 de partido,Mar,Local,E,1,1,Mainz 05,1.2,0.9,65,"80,350",Emre Can,4-3-3,Marco Fritz,Informe del partido
2024-01-13,18:30,Bundesliga,Semana 17 de partido,Sáb,Visitante,V,3,0,Darmstadt 98,3.1,1.0,52,"17,810",Emre Can,4-3-3,Deniz Aytekin,Informe del partido
2024-01-20,15:30,Bundesliga,Semana 18 de partido,Sáb,Visitante,V,4,0,Köln,3.4,1.3,61,"50,000",Gregor Kobel,4-3-3,Daniel Schlager,Informe del partido
2024-01-28,17:30,Bundesliga,Semana 19 de partido,Dom,Local,V,3,1,Bochum,2.9,0.5,63,"81,365",Niklas Süle,4-2-2-2,Benjamin Brand,Informe del partido
2024-02-02,20:30,Bundesliga,Semana 20 de partido,Vie,Visitante,E,0,0,Heidenheim,0.6,1.2,69,"15,000",Niklas Süle,4-2-2-2,Bastian Dankert,Informe del partido
2024-02-09,20:30,Bundesliga,Semana 21 de partido,Vie,Local,V,3,0,Freiburg,1.9,0.3,66,"81,365",Emre Can,4-2-2-2,Harm Osmers,Informe del partido
2024-02-17,15:30,Bundesliga,Semana 22 de partido,Sáb,Visitante,E,1,1,Wolfsburg,1.4,1.8,63,"28,917",Emre Can,4-2-3-1,Martin Petersen,Informe del partido
2024-02-20,21:00,Champions Lg,Ronda de 16,Mar,Visitante,E,1,1,nl PSV Eindhoven,0.9,1.6,45,"34,950",Emre Can,4-2-3-1,Srđan Jovanović,Informe del partido
2024-02-25,17:30,Bundesliga,Semana 23 de partido,Dom,Local,D,2,3,Hoffenheim,1.9,1.3,69,"81,365",Emre Can,4-2-3-1,Marco Fritz,Informe del partido
2024-03-02,15:30,Bundesliga,Semana 24 de partido,Sáb,Visitante,V,2,0,Union Berlin,1.6,1.2,61,"22,012",Emre Can,4-2-3-1,Christian Dingert,Informe del partido
2024-03-09,18:30,Bundesliga,Semana 25 de partido,Sáb,Visitante,V,2,1,Werder Bremen,1.2,1.8,54,"42,100",Emre Can,4-2-3-1,Deniz Aytekin,Informe del partido
2024-03-13,21:00,Champions Lg,Ronda de 16,Mié,Local,V,2,0,nl PSV Eindhoven,1.5,1.5,48,"81,365",Emre Can,4-2-3-1,Daniele Orsato,Informe del partido
2024-03-17,17:30,Bundesliga,Semana 26 de partido,Dom,Local,V,3,1,Eint Frankfurt,2.3,0.9,66,"81,365",Emre Can,4-3-3,Tobias Stieler,Informe del partido
2024-03-30,18:30,Bundesliga,Semana 27 de partido,Sáb,Visitante,V,2,0,Bayern Munich,0.9,1.5,39,"75,000",Emre Can,4-3-3,Harm Osmers,Informe del partido
2024-04-06,18:30,Bundesliga,Semana 28 de partido,Sáb,Local,D,0,1,Stuttgart,2.5,1.6,51,"81,365",Emre Can,4-3-3,Matthias Jöllenbeck,Informe del partido
2024-04-10,21:00,Champions Lg,Cuartos de final,Mié,Visitante,D,1,2,es Atlético Madrid,0.9,2.2,66,"68,641",Emre Can,4-2-3-1,Marco Guida,Informe del partido
2024-04-13,15:30,Bundesliga,Semana 29 de partido,Sáb,Visitante,V,2,1,M'Gladbach,1.3,1.1,54,"54,042",Gregor Kobel,4-2-3-1,Florian Badstübner,Informe del partido
2024-04-16,21:00,Champions Lg,Cuartos de final,Mar,Local,V,4,2,es Atlético Madrid,1.5,1.9,52,,Emre Can,4-2-3-1,Slavko Vinčič,Informe del partido
2024-04-21,17:30,Bundesliga,Semana 30 de partido,Dom,Local,E,1,1,Leverkusen,0.5,1.1,48,"81,365",Emre Can,4-5-1,Daniel Siebert,Informe del partido
2024-04-27,15:30,Bundesliga,Semana 31 de partido,Sáb,Visitante,,,,RB Leipzig,,,,,,,,Cara a cara
2024-05-01,21:00,Champions Lg,Semifinales,Mié,Local,,,,fr Paris S-G,,,,,,,,Cara a cara
2024-05-04,15:30,Bundesliga,Semana 32 de partido,Sáb,Local,,,,Augsburg,,,,,,,,Cara a cara
2024-05-07,21:00,Champions Lg,Semifinales,Mar,Visitante,,,,fr Paris S-G,,,,,,,,Cara a cara
2024-05-11,18:30,Bundesliga,Semana 33 de partido,Sáb,Visitante,,,,Mainz 05,,,,,,,,Cara a cara
2024-05-18,15:30,Bundesliga,Semana 34 de partido,Sáb,Local,,,,Darmstadt 98,,,,,,,,Cara a cara
