Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2024-04-06,21:00,Ligue 1,Semana 28 de partido,Sáb,Local,E,1,1,Clermont Foot,2.7,0.3,73,"47,607",Danilo Pereira,4-3-3,Gaël Angoula,Informe del partido
2024-04-10,21:00,Champions Lg,Cuartos de final,Mié,Local,D,2,3,es Barcelona,1.2,1.9,59,"47,470",Marquinhos,4-3-3,Anthony Taylor,Informe del partido
2024-04-16,21:00,Champions Lg,Cuartos de final,Mar,Visitante,V,4,1,es Barcelona,2.3,1.1,67,"50,309",Marquinhos,4-3-3,István Kovács,Informe del partido
2024-04-21,21:00,Ligue 1,Semana 30 de partido,Dom,Local,V,4,1,Lyon,2.3,0.9,63,,Marquinhos,4-2-3-1,François Letexier,Informe del partido
2024-04-24,19:00,Ligue 1,Semana 29 de partido,Mié,Visitante,,,,Lorient,,,,,,,,Cara a cara
2024-04-27,21:00,Ligue 1,Semana 31 de partido,Sáb,Local,,,,Le Havre,,,,,,,,Cara a cara
2024-05-01,21:00,Champions Lg,Semifinales,Mié,Visitante,,,,de Dortmund,,,,,,,,Cara a cara
2024-05-04,,Ligue 1,Semana 32 de partido,Sáb,Visitante,,,,Nice,,,,,,,,
2024-05-07,21:00,Champions Lg,Semifinales,Mar,Local,,,,de Dortmund,,,,,,,,Cara a cara
2024-05-12,21:00,Ligue 1,Semana 33 de partido,Dom,Local,,,,Toulouse,,,,,,,,Cara a cara
2024-05-18,21:00,Ligue 1,Semana 34 de partido,Sáb,Visitante,,,,Metz,,,,,,,,Cara a cara
2024-05-25,21:00,Coupe de France,Final,Sáb,Visitante,,,,Lyon,,,,,,,,Cara a cara
