Temporada,Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Federico Valverde,uy URU,CC,25-275,32,30,"2,640",29.3,1.0,7.0,8.0,1.0,0.0,0.0,2.0,0.0,3.3,3.3,5.7,9.0,102.0,221.0,95.0,0.03,0.24,0.27,0.03,0.27,0.11,0.19,0.31,0.11,0.31
Antonio Rüdiger,de GER,DF,31-050,28,27,"2,426",27.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,1.2,2.4,16.0,75.0,1.0,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.09,0.05,0.09
Rodrygo,br BRA,DL,23-104,31,26,"2,177",24.2,10.0,5.0,15.0,10.0,0.0,1.0,2.0,0.0,10.7,9.9,3.5,13.4,143.0,82.0,274.0,0.41,0.21,0.62,0.41,0.62,0.44,0.15,0.59,0.41,0.55
Jude Bellingham,eng ENG,"CC,DL",20-298,25,25,"2,110",23.4,17.0,4.0,21.0,16.0,1.0,1.0,5.0,1.0,10.6,9.8,4.2,14.0,77.0,169.0,155.0,0.73,0.17,0.9,0.68,0.85,0.45,0.18,0.63,0.42,0.6
Toni Kroos,de GER,CC,34-109,30,22,"1,946",21.6,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,4.7,6.3,31.0,257.0,26.0,0.05,0.32,0.37,0.05,0.37,0.07,0.22,0.29,0.07,0.29
