Temporada,Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Gianluigi Donnarumma,it ITA,PO,25-057,24,24,"2,079",23.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitinha,pt POR,CC,24-069,26,21,"1,946",21.6,7.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,2.9,2.9,3.1,6.0,37.0,169.0,122.0,0.32,0.18,0.51,0.32,0.51,0.13,0.14,0.28,0.13,0.28
Kylian Mbappé,fr FRA,DL,25-124,26,22,"1,933",21.5,24.0,6.0,30.0,18.0,6.0,8.0,3.0,0.0,19.5,13.0,4.9,17.9,100.0,106.0,251.0,1.12,0.28,1.4,0.84,1.12,0.91,0.23,1.13,0.6,0.83
Lucas Hernández,fr FRA,DF,28-068,26,22,"1,846",20.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,1.6,2.0,28.0,143.0,22.0,0.05,0.05,0.1,0.05,0.1,0.02,0.08,0.1,0.02,0.1
Achraf Hakimi,ma MAR,DF,25-170,23,19,"1,828",20.3,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,3.5,3.5,5.2,8.6,77.0,203.0,213.0,0.15,0.25,0.39,0.15,0.39,0.17,0.25,0.42,0.17,0.42
