Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Goalkeeper,Scorer,Goals
2021-2022,GR,itMilan,6,1,1,4,6,9,-3,4,"Mike Maignan,Ciprian Tătărușanu",Rafael Le,1
2021-2022,GR,beClub Brugge,6,1,1,4,6,20,-14,4,Simon Mignolet,Hans Vanaken,3
2021-2022,GR,uaShakhtar,6,0,2,4,2,12,-10,2,Anatolii Trubin,Fernando,2
2021-2022,GR,uaDynamo Kyiv,6,0,1,5,1,11,-10,1,Heorhiy Bushchan,Denys Harmash,1
2021-2022,GR,seMalmö,6,0,1,5,1,14,-13,1,Johan Dahlin,S,1
2021-2022,GR,trBeşiktaş,6,0,0,6,3,19,-16,0,Ersin Destanoğlu,Francisco Montero,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2020-2021,W,engChelsea,13,9,3,1,23,4,+19,30,Edouard Mendy,Olivier Giroud,6
2020-2021,F,engManchester City,13,11,1,1,25,5,+20,34,Ederson,Riyad Mahrez,4
2020-2021,SF,esReal Madrid,12,6,3,3,19,14,+5,21,Thibaut Courtois,Karim Benzema,6
2020-2021,SF,frParis S-G,12,6,1,5,22,15,+7,19,Keylor Navas,Kylian Mbapp,8
2020-2021,QF,deBayern Munich,10,8,1,1,27,10,+17,25,Manuel Neuer,Robert Lewandowski,5
2020-2021,QF,engLiverpool,10,6,2,2,15,6,+9,20,Alisson,Mohamed Salah,6
2020-2021,QF,ptPorto,10,6,1,3,15,9,+6,19,Agustín Marchesín,S,5
2020-2021,QF,deDortmund,10,5,2,3,19,13,+6,17,Marwin Hitz,Erling Haaland,10
2020-2021,R16,itJuventus,8,6,0,2,18,8,+10,18,Wojciech Szczęsny,lvaro Morata,6
2020-2021,R16,esBarcelona,8,5,1,2,18,10,+8,16,Marc-André ter Stegen,Lionel Messi,5
2020-2021,R16,esSevilla,8,4,2,2,13,13,0,14,Yassine Bounou,Youssef En,6
2020-2021,R16,deRB Leipzig,8,4,0,4,11,16,-5,12,Péter Gulácsi,Angeli,3
2020-2021,R16,itAtalanta,8,3,2,3,11,12,-1,11,Marco Sportiello,Luis Muriel,3
2020-2021,R16,itLazio,8,2,4,2,13,13,0,10,Pepe Reina,Ciro Immobile,5
2020-2021,R16,esAtlético Madrid,8,2,3,3,7,11,-4,9,Jan Oblak,Jo,3
2020-2021,R16,deM'Gladbach,8,2,2,4,16,13,+3,8,Yann Sommer,Alassane Pl,5
2020-2021,GR,engManchester Utd,6,3,0,3,15,10,+5,9,David de Gea,Marcus Rashford,6
2020-2021,GR,beClub Brugge,6,2,2,2,8,10,-2,8,Simon Mignolet,Hans Vanaken,3
2020-2021,GR,uaShakhtar,6,2,2,2,5,12,-7,8,Anatolii Trubin,Manor Solomon,2
2020-2021,GR,nlAjax,6,2,1,3,7,7,0,7,André Onana,Du,2
2020-2021,GR,itInter,6,1,3,2,7,9,-2,6,Samir Handanović,Romelu Lukaku,4
2020-2021,GR,ruKrasnodar,6,1,2,3,6,11,-5,5,Matvei Safonov,Marcus Berg,2
2020-2021,GR,atRB Salzburg,6,1,1,4,10,17,-7,4,Cican Stankovic,Mergim Berisha,4
2020-2021,GR,uaDynamo Kyiv,6,1,1,4,4,13,-9,4,Heorhiy Bushchan,Viktor Tsyhankov,2
2020-2021,GR,ruLoko Moscow,6,0,3,3,5,10,-5,3,Guilherme Marinato,Anton Miranchuk,3
2020-2021,GR,grOlympiacos,6,1,0,5,2,10,-8,3,José Sá,Koka,1
2020-2021,GR,trBaşakşehir,6,1,0,5,7,18,-11,3,Mert Günok,rfan Kahveci,3
2020-2021,GR,frMarseille,6,1,0,5,2,13,-11,3,Steve Mandanda,Dimitri Payet,2
2020-2021,GR,dkMidtjylland,6,0,2,4,4,13,-9,2,Jesper Hansen,Alexander Scholz,2
2020-2021,GR,frRennes,6,0,1,5,3,11,-8,1,Alfred Gomis,Serhou Guirassy,2
2020-2021,GR,ruZenit,6,0,1,5,4,13,-9,1,Mikhail Kerzhakov,Artem Dzyuba,1
2020-2021,GR,huFerencváros,6,0,1,5,5,17,-12,1,Dénes Dibusz,Franck Boli,2
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2019-2020,W,deBayern Munich,11,11,0,0,43,8,+35,33,Manuel Neuer,Robert Lewandowski,15
2019-2020,F,frParis S-G,11,8,1,2,25,6,+19,25,Keylor Navas,Mauro Icardi,5
2019-2020,SF,deRB Leipzig,10,6,2,2,16,12,+4,20,Péter Gulácsi,Timo Werner,4
2019-2020,SF,frLyon,10,4,2,4,14,14,0,14,Anthony Lopes,Memphis,6
2019-2020,QF,engManchester City,9,6,2,1,21,9,+12,20,Ederson,Raheem Sterling,6
2019-2020,QF,esBarcelona,9,5,3,1,15,14,+1,18,Marc-André ter Stegen,Luis Su,5
2019-2020,QF,esAtlético Madrid,9,5,1,3,13,9,+4,16,Jan Oblak,lvaro Morata,3
2019-2020,QF,itAtalanta,9,4,1,4,17,18,-1,13,Pierluigi Gollini,Josip Ili,5
2019-2020,R16,itJuventus,8,6,1,1,14,6,+8,19,Wojciech Szczęsny,Cristiano Ronaldo,4
2019-2020,R16,itNapoli,8,3,4,1,13,8,+5,13,Alex Meret,Dries Mertens,6
2019-2020,R16,engLiverpool,8,4,1,3,15,12,+3,13,Alisson,Mohamed Salah,4
2019-2020,R16,deDortmund,8,4,1,3,10,11,-1,13,Roman Bürki,Achraf Hakimi,4
2019-2020,R16,esReal Madrid,8,3,2,3,16,12,+4,11,Thibaut Courtois,Karim Benzema,5
2019-2020,R16,esValencia,8,3,2,3,13,15,-2,11,Jasper Cillessen,Rodrigo,2
2019-2020,R16,engChelsea,8,3,2,3,12,16,-4,11,Kepa Arrizabalaga,Tammy Abraham,3
2019-2020,R16,engTottenham,8,3,1,4,18,18,0,10,"Hugo Lloris,Paulo Gazzaniga",Harry Kane,6
2019-2020,GR,nlAjax,6,3,1,2,12,6,+6,10,André Onana,Quincy Promes,4
2019-2020,GR,atRB Salzburg,6,2,1,3,16,13,+3,7,Cican Stankovic,Erling Haaland,8
2019-2020,GR,itInter,6,2,1,3,10,9,+1,7,Samir Handanović,Lautaro Mart,5
2019-2020,GR,ptBenfica,6,2,1,3,10,11,-1,7,Odisseas Vlachodimos,Pizzi,3
2019-2020,GR,ruZenit,6,2,1,3,7,9,-2,7,Mikhail Kerzhakov,Sardar Azmoun,2
2019-2020,GR,deLeverkusen,6,2,0,4,5,9,-4,6,Lukáš Hrádecký,Sven Bender,1
2019-2020,GR,uaShakhtar,6,1,3,2,8,13,-5,6,Andriy Pyatov,J,2
2019-2020,GR,hrDinamo Zagreb,6,1,2,3,10,13,-3,5,Dominik Livaković,Mislav Or,4
2019-2020,GR,grOlympiacos,6,1,1,4,8,14,-6,4,José Sá,Youssef El,3
2019-2020,GR,ruLoko Moscow,6,1,0,5,4,11,-7,3,Guilherme Marinato,Aleksei Miranchuk,2
2019-2020,GR,beClub Brugge,6,0,3,3,4,12,-8,3,Simon Mignolet,Emmanuel Dennis,2
2019-2020,GR,rsRed Star,6,1,0,5,3,20,-17,3,Milan Borjan,Richmond Boakye,1
2019-2020,GR,czSlavia Prague,6,0,2,4,4,10,-6,2,Ondřej Kolář,Tom,2
2019-2020,GR,trGalatasaray,6,0,2,4,1,14,-13,2,Fernando Muslera,Adem B,1
2019-2020,GR,frLille,6,0,1,5,4,14,-10,1,Mike Maignan,Victor Osimhen,2
2019-2020,GR,beGenk,6,0,1,5,5,20,-15,1,Gaëtan Coucke,Mbwana Samatta,3
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2018-2019,W,engLiverpool,13,8,1,4,24,12,+12,25,Alisson,Mohamed Salah,5
2018-2019,F,engTottenham,13,6,2,5,20,19,+1,20,Hugo Lloris,Harry Kane,5
2018-2019,SF,esBarcelona,12,8,3,1,26,10,+16,27,Marc-André ter Stegen,Lionel Messi,12
2018-2019,SF,nlAjax,12,6,4,2,22,13,+9,22,André Onana,Du,6
2018-2019,QF,engManchester City,10,7,1,2,30,12,+18,22,Ederson,Sergio Ag,6
2018-2019,QF,ptPorto,10,6,1,3,20,15,+5,19,Iker Casillas,Moussa Marega,6
2018-2019,QF,itJuventus,10,5,1,4,14,9,+5,16,Wojciech Szczęsny,Cristiano Ronaldo,6
2018-2019,QF,engManchester Utd,10,4,1,5,10,11,-1,13,David de Gea,Romelu Lukaku,2
2018-2019,R16,esAtlético Madrid,8,5,1,2,11,9,+2,16,Jan Oblak,Antoine Griezmann,4
2018-2019,R16,deBayern Munich,8,4,3,1,16,8,+8,15,Manuel Neuer,Robert Lewandowski,8
2018-2019,R16,esReal Madrid,8,5,0,3,15,10,+5,15,Thibaut Courtois,Karim Benzema,4
2018-2019,R16,frParis S-G,8,4,2,2,20,12,+8,14,Gianluigi Buffon,Neymar,5
2018-2019,R16,deDortmund,8,4,1,3,10,6,+4,13,Roman Bürki,Rapha,4
2018-2019,R16,itRoma,8,4,0,4,14,12,+2,12,Robin Olsen,Edin D,5
2018-2019,R16,deSchalke 04,8,3,2,3,8,14,-6,11,Ralf Fährmann,Nabil Bentaleb,3
2018-2019,R16,frLyon,8,1,6,1,13,16,-3,9,Anthony Lopes,Nabil Fekir,3
