Season,Round,Day,Date,Time,Home_Team,Score,Away_Team,Attendance,Venue,Referee,Match_Report,Notes
2018-2019,Round of 16,Wed,2019-02-20,21:00,Atlético Madrides,2–0,itJuventus,"67,193",Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-03-05,21:00,Real Madrides,1–4,nlAjax,"77,013",Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Ajax won
2018-2019,Round of 16,Tue,2019-03-05,21:00,Dortmundde,0–1,engTottenham,"66,099",Signal Iduna Park,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Round of 16,Wed,2019-03-06,20:00,Portopt,3–1,itRoma,"49,029",Estádio Do Dragão,Paweł Gil,Match Report,Leg 2 of 2; Porto won; Required Extra Time
2018-2019,Round of 16,Wed,2019-03-06,21:00,Paris S-Gfr,1–3,engManchester Utd,"47,441",Parc des Princes,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won
2018-2019,Round of 16,Tue,2019-03-12,20:00,Manchester Cityeng,7–0,deSchalke 04,"51,518",Etihad Stadium,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2018-2019,Round of 16,Tue,2019-03-12,21:00,Juventusit,3–0,esAtlético Madrid,"40,884",Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
2018-2019,Round of 16,Wed,2019-03-13,21:00,Bayern Munichde,1–3,engLiverpool,"68,145",Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Round of 16,Wed,2019-03-13,21:00,Barcelonaes,5–1,frLyon,"92,346",Camp Nou,Szymon Marciniak,Match Report,Leg 2 of 2; Barcelona won
2018-2019,Quarter-finals,Tue,2019-04-09,20:00,Tottenhameng,1–0,engManchester City,"60,044",Tottenham Hotspur Stadium,Björn Kuipers,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,Tue,2019-04-09,20:00,Liverpooleng,2–0,ptPorto,"52,465",Anfield,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,Wed,2019-04-10,20:00,Manchester Utdeng,0–1,esBarcelona,"74,093",Old Trafford,Gianluca Rocchi,Match Report,Leg 1 of 2
