Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2024-02-24,18:30,Bundesliga,Semana 23 de partido,Sáb,Local,V,2.0,1.0,RB Leipzig,1.5,0.9,57.0,"75,000",Manuel Neuer,4-2-3-1,Sascha Stegemann,Informe del partido
2024-03-01,20:30,Bundesliga,Semana 24 de partido,Vie,Visitante,E,2.0,2.0,Freiburg,1.8,1.5,62.0,"34,700",Manuel Neuer,4-2-3-1,Sven Jablonski,Informe del partido
2024-03-05,21:00,Champions Lg,Ronda de 16,Mar,Local,V,3.0,0.0,it Lazio,3.5,0.4,60.0,"75,000",Manuel Neuer,4-2-3-1,Slavko Vinčič,Informe del partido
2024-03-09,15:30,Bundesliga,Semana 25 de partido,Sáb,Local,V,8.0,1.0,Mainz 05,6.2,0.8,59.0,"75,000",Manuel Neuer,4-2-3-1,Patrick Ittrich,Informe del partido
2024-03-16,15:30,Bundesliga,Semana 26 de partido,Sáb,Visitante,V,5.0,2.0,Darmstadt 98,3.6,1.2,76.0,"17,810",Manuel Neuer,4-2-3-1,Tobias Reichel,Informe del partido
2024-03-30,18:30,Bundesliga,Semana 27 de partido,Sáb,Local,D,0.0,2.0,Dortmund,1.5,0.9,61.0,"75,000",Thomas Müller,4-2-3-1,Harm Osmers,Informe del partido
2024-04-06,15:30,Bundesliga,Semana 28 de partido,Sáb,Visitante,D,2.0,3.0,Heidenheim,1.9,1.4,67.0,"15,000",Thomas Müller,4-2-3-1,Robert Schröder,Informe del partido
2024-04-09,20:00 (21:00),Champions Lg,Cuartos de final,Mar,Visitante,E,2.0,2.0,eng Arsenal,1.9,1.0,41.0,"60,221",Manuel Neuer,4-2-3-1,Glenn Nyberg,Informe del partido
2024-04-13,15:30,Bundesliga,Semana 29 de partido,Sáb,Local,V,2.0,0.0,Köln,2.2,0.9,69.0,"75,000",Thomas Müller,4-2-3-1,Frank Willenborg,Informe del partido
2024-04-20,18:30,Bundesliga,Semana 30 de partido,Sáb,Visitante,V,5.0,1.0,Union Berlin,1.4,1.2,63.0,"22,012",Manuel Neuer,4-2-3-1,Sven Jablonski,Informe del partido
