Ranking,Player_Name,Team,Goals,Assists
126.0,Fofana D. D.,Union Berlin,1,0
126.0,Forsberg E.,RB Leipzig,1,0
126.0,Gavi,Barcelona,1,0
126.0,Gosens R.,Union Berlin,1,0
126.0,Guiu M.,Barcelona,1,0
126.0,Haller S.,Borussia Dortmund,1,0
126.0,Hamilton M.,Manchester City,1,0
126.0,Hancko D.,Feyenoord,1,0
126.0,Havertz K.,Arsenal,1,0
126.0,Hernández L.,PSG,1,0
126.0,Ilenikhena G.,Antwerp,1,0
126.0,Itten C.,Young Boys,1,0
126.0,Jahanbakhsh A.,Feyenoord,1,0
126.0,Janssen V.,Antwerp,1,0
126.0,Joelinton,Newcastle,1,0
126.0,Jorginho,Arsenal,1,0
126.0,Katai A.,Estrella Roja,1,0
126.0,Kelsy K.,Shakhtar,1,0
126.0,Kolo Muani R.,PSG,1,0
126.0,Lagerbielke G.,Celtic,1,0
126.0,Leao R.,AC Milan,1,0
126.0,Longstaff S.,Newcastle,1,0
126.0,Maatsen I.,Borussia Dortmund,1,0
126.0,Maguire H.,Manchester Utd,1,0
126.0,Malen D.,Borussia Dortmund,1,0
126.0,Mattsson M.,Copenhague,1,0
126.0,Matviienko M.,Shakhtar,1,0
126.0,Minteh Y.,Feyenoord,1,0
126.0,Muja A.,Antwerp,1,0
126.0,Ndiaye C.,Estrella Roja,1,0
126.0,Niakate S.,SC Braga,1,0
126.0,Nketiah E.,Arsenal,1,0
126.0,Nmecha F.,Borussia Dortmund,1,0
126.0,Ocampos L.,Sevilla,1,0
126.0,Olmo D.,RB Leipzig,1,0
126.0,Orban W.,RB Leipzig,1,0
126.0,Ostigard L.,Nápoles,1,0
126.0,Paz N.,Real Madrid,1,0
126.0,Phillips K.,Manchester City,1,0
126.0,Provedel I.,Lazio,1,0
126.0,Pulisic C.,AC Milan,1,0
126.0,Rakitskyi Y.,Shakhtar,1,0
126.0,Raspadori G.,Nápoles,1,0
126.0,Rrahmani A.,Nápoles,1,0
126.0,Saibari I.,PSV,1,0
126.0,Sancho J.,Manchester Utd,1,0
126.0,Schar F.,Newcastle,1,0
126.0,Simakan M.,RB Leipzig,1,0
126.0,Simeone G.,Nápoles,1,0
126.0,Skriniar M.,PSG,1,0
126.0,Stamenic M.,Estrella Roja,1,0
126.0,Sucic L.,Salzburgo,1,0
126.0,Sudakov G.,Shakhtar,1,0
126.0,Teze J.,PSV,1,0
126.0,Thomasson A.,Lens,1,0
126.0,Thuram M.,Inter,1,0
126.0,Vecino M.,Lazio,1,0
126.0,Volland K.,Union Berlin,1,0
126.0,Zerrouki R.,Feyenoord,1,0
126.0,de Paul R.,Atlético de Madrid,1,0
126.0,Ñíguez S.,Atlético de Madrid,1,0
206.0,Gündogan I.,Barcelona,0,4
207.0,Lewis R.,Manchester City,0,3
207.0,Molina N.,Atlético de Madrid,0,3
207.0,O'Riley M.,Celtic,0,3
207.0,Pedri,Barcelona,0,3
207.0,Rakitic I.,Sevilla,0,3
212.0,Grealish J.,Manchester City,0,2
212.0,Guerreiro R.,Bayern Múnich,0,2
212.0,Henrichs B.,RB Leipzig,0,2
212.0,Horta R.,SC Braga,0,2
212.0,Kampl K.,RB Leipzig,0,2
212.0,Llorente M.,Atlético de Madrid,0,2
212.0,Marquinhos,PSG,0,2
212.0,Nelson R.,Arsenal,0,2
212.0,Rashford M.,Manchester Utd,0,2
212.0,Ruiz F.,PSG,0,2
212.0,Sánchez D.,Galatasaray,0,2
212.0,Tengstedt C.,Benfica,0,2
212.0,Tomiyasu T.,Arsenal,0,2
212.0,Yamal L.,Barcelona,0,2
212.0,Zubkov O.,Shakhtar,0,2
227.0,Acerbi F.,Inter,0,1
227.0,Achouri E.,Copenhague,0,1
227.0,Acuña M.,Sevilla,0,1
227.0,Alaba D.,Real Madrid,0,1
227.0,Aursnes F.,Benfica,0,1
227.0,Azarovi I.,Shakhtar,0,1
227.0,Banza S.,SC Braga,0,1
227.0,Barella N.,Inter,0,1
227.0,Bataille J.,Antwerp,0,1
227.0,Baumgartner C.,RB Leipzig,0,1
